ID,fold_change,neglogp,padj,input,count
agilent_100013,12.587,11.375,0,417,85
agilent_102644,17289.858,8.038,0.003,0.1,28
agilent_10341,5.611,13.171,0,2124,193
agilent_104204,207.204,1000,0,45,151
agilent_106204,27.11,7.857,0.004,82,36
agilent_106304,100.343,6.973,0.032,16,26
agilent_106757,6.067,6.888,0.039,804,79
agilent_107529,57.289,15.353,0,263,244
agilent_108170,19.591,13.402,0,249,79
agilent_108515,802.743,7.467,0.01,2,26
agilent_109365,13.617,7.441,0.011,195,43
agilent_109987,17.742,15.109,0,355,102
agilent_110216,10.171,10.041,0,510,84
agilent_11124,16672.364,7.792,0.005,0.1,27
agilent_111504,14819.879,7.05,0.027,0.1,24
agilent_112066,329.331,1000,0,33,176
agilent_11266,14.484,13.153,0,405,95
agilent_112839,30.114,15.353,0,203,99
agilent_114516,4.968,13.098,0,3493,281
agilent_114714,12.35,7.857,0.004,250,50
agilent_116859,5.82,6.99,0.031,870,82
agilent_117404,75.173,7.253,0.017,23,28
agilent_122417,13.648,11.535,0,371,82
agilent_123887,33962.222,14.507,0,0.1,55
agilent_126053,13.2,9.076,0,276,59
agilent_126717,21.519,9.241,0,132,46
agilent_12685,13.043,1000,0,1425,301
agilent_127163,9.515,10.457,0,636,98
agilent_127197,33.23,15.955,0,236,127
agilent_127750,17289.858,8.038,0.003,0.1,28
agilent_127869,8.985,14.913,0,1237,180
agilent_130565,28.776,10.239,0,103,48
agilent_130606,330.541,1000,0,17,91
agilent_130807,8.226,8.512,0.001,608,81
agilent_132331,17907.353,8.283,0.002,0.1,29
agilent_133222,132.761,15.955,0,120,258
agilent_133853,6.509,7.057,0.026,740,78
agilent_134645,62.937,12.462,0,52,53
agilent_134954,21.644,7.127,0.022,97,34
agilent_138610,17.429,15.051,0,372,105
agilent_140119,98.413,15.654,0,96,153
agilent_141285,16.554,10.654,0,235,63
agilent_142054,6.089,7.889,0.004,933,92
agilent_144340,12.799,8.727,0.001,275,57
agilent_144773,12.924,8.471,0.001,258,54
agilent_144937,10.671,10.716,0,515,89
agilent_146622,8.168,8.63,0.001,635,84
agilent_146691,19142.343,8.772,0.001,0.1,31
agilent_148110,20.417,8.262,0.002,124,41
agilent_149669,13.722,1000,0,828,184
agilent_149779,243.256,1000,0,33,130
agilent_15071,1790.735,8.245,0.002,1,29
agilent_151936,34.159,15.353,0,282,156
agilent_151937,42.809,1000,0,401,278
agilent_152040,21.332,7.824,0.005,110,38
agilent_15204,14.507,7.1,0.024,166,39
agilent_153127,12.35,8.754,0.001,295,59
agilent_155158,22.393,6.998,0.03,91,33
agilent_157741,15437.374,7.298,0.015,0.1,25
agilent_160014,7.975,13.029,0,1115,144
agilent_160117,5.023,12.809,0,2803,228
agilent_16034,13.979,14.593,0,508,115
agilent_160945,6.668,6.861,0.041,676,73
agilent_161062,4.466,8.753,0.001,1770,128
agilent_161116,444.596,9.785,0,5,36
agilent_161274,308.747,7.103,0.024,5,25
agilent_16154,78.164,15.955,0,79,100
agilent_16209,12.977,1000,0,709,149
agilent_162348,1080.616,9.663,0,2,35
agilent_163308,26.84,15.477,0,375,163
agilent_164761,4.199,6.918,0.036,1441,98
agilent_165182,571.183,10.065,0,4,37
agilent_165902,8.233,6.912,0.037,435,58
agilent_166306,5.436,7.273,0.016,1011,89
agilent_166827,18524.848,8.528,0.001,0.1,30
agilent_167148,115.266,7.493,0.01,15,28
agilent_167903,9.284,9.595,0,572,86
agilent_168161,10.07,7.275,0.016,325,53
agilent_168576,14.637,1000,0,675,160
agilent_168736,28.302,7.341,0.014,72,33
agilent_169204,16.87,9.525,0,194,53
agilent_169599,19142.343,8.772,0.001,0.1,31
agilent_171770,65.01,1000,0,606,638
agilent_172004,11.732,8.32,0.001,300,57
agilent_172457,864.493,7.959,0.003,2,28
agilent_172772,10.047,6.796,0.048,295,48
agilent_173808,159.52,8.322,0.001,12,31
agilent_174331,29.206,7.773,0.005,74,35
agilent_174652,298.456,8.048,0.003,6,29
agilent_174958,10.597,13.503,0,775,133
agilent_17615,43.786,9.102,0,55,39
agilent_176296,7.302,7.79,0.005,685,81
agilent_176428,40.428,1000,0,446,292
agilent_177203,89.585,15.477,0,193,280
agilent_177287,198.481,11.615,0,14,45
agilent_178076,20.201,14.75,0,700,229
agilent_178095,32.033,15.477,0,160,83
agilent_178147,14.529,8.3,0.002,204,48
agilent_179674,26.222,12.508,0,146,62
agilent_180309,126.306,15.654,0,308,630
agilent_181952,14.25,7.461,0.01,182,42
agilent_181953,8.958,7.079,0.025,386,56
agilent_186055,17.404,12.028,0,259,73
agilent_18612,7.248,7.421,0.011,639,75
agilent_187158,6.956,7.085,0.025,648,73
agilent_187854,14.928,10.421,0,273,66
agilent_188119,46.55,11.234,0,65,49
agilent_188474,13.668,8.94,0,253,56
agilent_188812,12.967,13.299,0,500,105
agilent_18885,8.359,9.277,0,687,93
agilent_190401,14819.879,7.05,0.027,0.1,24
agilent_190865,54.265,7.228,0.018,33,29
agilent_190952,21612.323,9.743,0,0.1,35
agilent_191212,4.47,7.119,0.023,1340,97
agilent_191305,14.808,15.176,0,638,153
agilent_193401,31.011,15.955,0,227,114
agilent_19497,102.916,13.411,0,33,55
agilent_195846,43.505,7.445,0.011,44,31
agilent_198444,10.091,13.348,0,820,134
agilent_198635,73.831,13.074,0,46,55
agilent_199596,17.456,12.778,0,283,80
agilent_199930,26.464,15.477,0,224,96
agilent_201141,77.858,7.496,0.01,23,29
agilent_20117,38.226,11.535,0,84,52
agilent_201949,5.645,6.886,0.039,897,82
agilent_20338,15.788,8.202,0.002,176,45
agilent_20420,75.938,15.176,0,309,380
agilent_205647,65.766,15.353,0,246,262
agilent_205650,38.745,7.528,0.009,51,32
agilent_206645,22.534,1000,0,1055,385
agilent_20729,5.262,9.065,0,1373,117
agilent_208438,10.987,10.08,0,444,79
agilent_209928,49.875,9.877,0,52,42
agilent_210454,41.562,8.22,0.002,52,35
agilent_212238,22229.818,9.984,0,0.1,36
agilent_21513,10.989,1000,0,1298,231
agilent_215339,16.804,12.848,0,305,83
agilent_218880,20.998,15.109,0,347,118
agilent_21920,24.7,7.712,0.006,90,36
agilent_219925,13.508,8.128,0.002,224,49
agilent_220084,28.669,8.519,0.001,84,39
agilent_220150,31.238,15.955,0,170,86
agilent_220352,2222.982,9.946,0,1,36
agilent_220640,12.695,11.042,0,394,81
agilent_220721,9.658,8.294,0.002,422,66
agilent_22084,29.405,8.751,0.001,84,40
agilent_221096,131.624,15.955,0,76,162
agilent_221880,3.662,8.129,0.002,2563,152
agilent_221984,31.983,1000,0,195,101
agilent_222057,74.099,7.682,0.006,25,30
agilent_222162,33.507,15.256,0,258,140
agilent_222335,148.199,9.431,0,15,36
agilent_222381,17.297,14.046,0,332,93
agilent_223034,61.749,11.805,0,50,50
agilent_223183,45.953,7.707,0.006,43,32
agilent_223185,233.816,15.176,0,356,1348
agilent_2232,36.575,1000,0,130,77
agilent_223567,15.905,9.031,0,198,51
agilent_223646,61.749,15.654,0,154,154
agilent_223692,17.558,14.875,0,415,118
agilent_223695,54.031,7.011,0.029,32,28
agilent_224194,50.35,12.168,0,65,53
agilent_224314,11.603,8.462,0.001,314,59
agilent_224607,19.618,11.23,0,192,61
agilent_224850,51.334,15.353,0,83,69
agilent_225438,12.049,10.666,0,410,80
agilent_225542,4.924,8.384,0.001,1392,111
agilent_225553,5.092,8.54,0.001,1346,111
agilent_225569,7.139,14.292,0,4351,503
agilent_22573,16.639,8.369,0.001,167,45
agilent_225964,14.446,15.256,0,607,142
agilent_226015,19.626,13.74,0,258,82
agilent_226077,14.216,1000,0,569,131
agilent_226611,20.922,1000,0,912,309
agilent_227392,7.808,8.516,0.001,688,87
agilent_227408,12.35,7.753,0.005,245,49
agilent_227745,34.192,15.955,0,242,134
agilent_228606,18.139,8.933,0,160,47
agilent_228689,6.482,7.042,0.027,743,78
agilent_229425,19.358,13.332,0,252,79
agilent_229456,16.055,7.371,0.013,150,39
agilent_229718,43.588,15.955,0,102,72
agilent_229950,509.433,9.098,0,4,33
agilent_230614,26.177,1000,0,861,365
agilent_230838,12.917,7.012,0.029,196,41
agilent_230924,11.797,9.024,0,335,64
agilent_231419,23.793,15.109,0,436,168
agilent_231437,11.993,11.868,0,484,94
agilent_231465,68.874,7.412,0.012,26,29
agilent_231668,5.072,8.013,0.003,1254,103
agilent_23320,45.587,15.654,0,149,110
agilent_234840,32.098,15.477,0,429,223
agilent_235082,5.74,10.187,0,1377,128
agilent_235466,27.712,15.955,0,205,92
agilent_235576,17.426,14.778,0,691,195
agilent_235855,23.336,15.256,0,471,178
agilent_236149,22.543,9.352,0,126,46
agilent_236333,14.141,9.522,0,262,60
agilent_236420,52.73,1000,0,89,76
agilent_236639,44.986,15.256,0,291,212
agilent_236864,105.747,15.955,0,647,1108
agilent_237349,80.785,15.955,0,133,174
agilent_237672,9.761,10.483,0,601,95
agilent_237796,14202.384,6.801,0.048,0.1,23
agilent_237918,17.21,1000,0,1428,398
agilent_23806,21.57,10.083,0,146,51
agilent_238184,21.454,14.386,0,2530,879
agilent_238345,10.201,14.841,0,1368,226
agilent_238370,73.08,1000,0,109,129
agilent_238419,5.849,13.812,0,2101,199
agilent_238578,15437.374,7.298,0.015,0.1,25
agilent_23878,21.632,10.733,0,157,55
agilent_238997,61.749,15.955,0,87,87
agilent_239180,89.684,14.557,0,42,61
agilent_239349,15.161,13.526,0,391,96
agilent_239521,17.807,10.906,0,215,62
agilent_239900,7.265,9.329,0,867,102
agilent_240086,20.583,7.578,0.008,111,37
agilent_240382,8.327,9.026,0,660,89
agilent_240518,35.422,15.477,0,129,74
agilent_240609,14819.879,7.05,0.027,0.1,24
agilent_241029,7.127,10.579,0,1031,119
agilent_241103,47.856,7.538,0.009,40,31
agilent_241214,12.907,8.153,0.002,244,51
agilent_241343,10.985,11.873,0,579,103
agilent_241497,22.987,10.262,0,137,51
agilent_24163,7.376,1000,0,1691,202
agilent_241665,214.579,15.955,0,80,278
agilent_241791,35.6,1000,0,196,113
agilent_242008,114.883,1000,0,43,80
agilent_242591,19.772,11.796,0,203,65
agilent_242702,254.717,8.947,0,8,33
agilent_243165,18.646,12.879,0,255,77
agilent_243890,12.9,9.161,0,292,61
agilent_24623,64.037,13.117,0,54,56
agilent_2469,10.838,1000,0,1242,218
agilent_25012,17.131,8.157,0.002,155,43
agilent_28564,18.503,13.469,0,277,83
agilent_3073,18.779,1000,0,730,222
agilent_31002,1667.236,7.754,0.005,1,27
agilent_31584,135.849,8.708,0.001,15,33
agilent_33018,58.687,15.353,0,504,479
agilent_33076,13.232,10.972,0,364,78
agilent_34554,35.59,15.353,0,203,117
agilent_35132,13.147,14.632,0,573,122
agilent_36582,15.725,7.616,0.007,161,41
agilent_37606,156.19,1000,0,102,258
agilent_38555,33344.727,14.273,0,0.1,54
agilent_38611,6.585,8.02,0.003,844,90
agilent_38799,13.683,15.176,0,880,195
agilent_39688,98.011,1000,0,1708,2711
agilent_39948,16.101,1000,0,675,176
agilent_39949,15.076,11.186,0,299,73
agilent_41125,28.5,15.256,0,169,78
agilent_41251,33.715,14.913,0,337,184
agilent_4207,14.985,9.597,0,239,58
agilent_42466,10.228,7.434,0.011,326,54
agilent_42700,22.27,8.975,0,122,44
agilent_43635,12.756,7.33,0.014,213,44
agilent_43764,23.616,15.051,0,285,109
agilent_44655,8.151,7.499,0.01,500,66
agilent_45161,82.333,15.256,0,333,444
agilent_45284,95.738,15.477,0,238,369
agilent_45754,114.535,15.256,0,434,805
agilent_46206,23464.808,10.466,0,0.1,38
agilent_4722,17.111,11.499,0,249,69
