ID,fold_change,neglogp,padj,input,count
agilent_101633,34.796,9.738,0,62,25
agilent_102395,22.1,7.501,0.009,82,21
agilent_102644,14670.09,8.872,0,0.1,17
agilent_105317,552.286,15.256,0,5,32
agilent_10560,14670.09,8.872,0,0.1,17
agilent_107529,36.093,15.955,0,263,110
agilent_108515,776.652,9.186,0,2,18
agilent_10960,4.824,6.893,0.038,1288,72
agilent_110337,4.944,7.234,0.017,1117,64
agilent_110572,11.364,8.817,0,243,32
agilent_11124,12081.25,7.478,0.01,0.1,14
agilent_112066,75.835,12.497,0,33,29
agilent_11271,8.971,9.009,0,404,42
agilent_112839,24.231,15.955,0,203,57
agilent_113434,12081.25,7.478,0.01,0.1,14
agilent_11686,12081.25,7.478,0.01,0.1,14
agilent_119265,4.843,6.797,0.047,1479,83
agilent_11947,10.787,1000,0,800,100
agilent_11948,7.649,13.734,0,1083,96
agilent_11949,14.023,14.214,0,320,52
agilent_12004,7.497,8.454,0.001,518,45
agilent_12006,40.393,1000,0,94,44
agilent_12008,7.31,7.696,0.006,484,41
agilent_12009,7.771,11.201,0,744,67
agilent_12011,26.327,15.955,0,590,180
agilent_12012,17.171,12.493,0,196,39
agilent_12013,29.138,15.955,0,154,52
agilent_12014,6.625,11.319,0,1485,114
agilent_12015,4.746,6.781,0.049,1091,60
agilent_12018,31.066,10.237,0,75,27
agilent_12019,24.6,15.654,0,221,63
agilent_12020,21.228,15.109,0,374,92
agilent_12021,10.588,12.941,0,489,60
agilent_12023,11.963,1000,0,541,75
agilent_12024,96.447,8.752,0.001,17,19
agilent_120494,862.946,10.102,0,2,20
agilent_121626,302.031,7.195,0.019,4,14
agilent_122806,13807.143,8.409,0.001,0.1,16
agilent_12511,7.927,7.302,0.015,381,35
agilent_12530,9.21,13.397,0,684,73
agilent_128338,16395.983,9.792,0,0.1,19
agilent_129251,234.228,9.304,0,7,19
agilent_129495,11.416,9.286,0,257,34
agilent_13027,11.64,8.203,0.002,215,29
agilent_130807,10.645,14.913,0,608,75
agilent_132331,28477.233,15.955,0,0.1,33
agilent_133222,43.147,15.955,0,120,60
agilent_134954,23.131,9.27,0,97,26
agilent_135148,15.468,11.745,0,212,38
agilent_135255,9.448,7.53,0.009,274,30
agilent_138192,11218.304,7.008,0.029,0.1,13
agilent_138738,12944.197,7.945,0.003,0.1,15
agilent_13945,17.509,9.244,0,138,28
agilent_139987,215.737,7.53,0.009,6,15
agilent_140151,20.02,9.92,0,125,29
agilent_142596,172.589,7.005,0.029,7,14
agilent_142983,11.93,8.547,0.001,217,30
agilent_144936,13807.143,8.409,0.001,0.1,16
agilent_146691,12944.197,7.945,0.003,0.1,15
agilent_147336,10.268,14.875,0,874,104
agilent_149052,460.238,8.192,0.002,3,16
agilent_149878,647.21,7.8,0.005,2,15
agilent_149903,68.127,6.843,0.042,19,15
agilent_149908,13.886,8.559,0.001,174,28
agilent_150745,1467.009,8.801,0,1,17
agilent_150944,402.708,7.263,0.016,3,14
agilent_151938,31.531,7.426,0.011,52,19
agilent_153298,80.901,12.981,0,32,30
agilent_157752,17.816,10.538,0,155,32
agilent_159126,7.339,10.691,0,776,66
agilent_160945,5.744,6.84,0.043,676,45
agilent_161014,13807.143,8.409,0.001,0.1,16
agilent_161274,241.625,7.13,0.022,5,14
agilent_16209,18.866,15.109,0,709,155
agilent_162301,12944.197,7.945,0.003,0.1,15
agilent_162348,1251.272,14.169,0,2,29
agilent_164364,248.097,11.057,0,8,23
agilent_165182,647.21,14.463,0,4,30
agilent_165236,17258.929,10.25,0,0.1,20
agilent_165574,50.587,7.325,0.014,29,17
agilent_165905,11218.304,7.008,0.029,0.1,13
agilent_166869,12.944,13.298,0,340,51
agilent_166946,107.868,7.185,0.019,12,15
agilent_168007,776.652,9.186,0,2,18
agilent_168736,22.772,6.889,0.038,72,19
agilent_16923,12944.197,7.945,0.003,0.1,15
agilent_171770,11.819,14.913,0,606,83
agilent_172457,1121.83,12.822,0,2,26
agilent_172772,11.408,10.291,0,295,39
agilent_173099,19.447,10.807,0,142,32
agilent_173437,21.047,7.078,0.025,82,20
agilent_174652,201.354,7.066,0.025,6,14
agilent_17615,47.07,12.13,0,55,30
agilent_178091,11218.304,7.008,0.029,0.1,13
agilent_178608,241.625,7.13,0.022,5,14
agilent_179377,1121.83,6.939,0.034,1,13
agilent_180309,33.901,15.955,0,308,121
agilent_180726,17.725,12.335,0,185,38
agilent_181953,9.39,9.334,0,386,42
agilent_182601,6.677,10.175,0,853,66
agilent_182676,22.046,15.256,0,411,105
agilent_183695,15.113,15.353,0,394,69
agilent_18816,460.238,8.192,0.002,3,16
agilent_190952,13807.143,8.409,0.001,0.1,16
agilent_191053,90.836,9.106,0,19,20
agilent_192564,29.488,1000,0,199,68
agilent_194076,12081.25,7.478,0.01,0.1,14
agilent_19497,81.065,13.382,0,33,31
agilent_195846,66.682,14.273,0,44,34
agilent_195968,8.958,7.27,0.016,289,30
agilent_196127,14.317,15.353,0,440,73
agilent_198313,98.622,7.539,0.009,14,16
agilent_198657,22.227,15.955,0,660,170
agilent_199155,7.741,7.035,0.027,379,34
agilent_200957,17258.929,10.25,0,0.1,20
agilent_201141,63.783,7.571,0.008,23,17
agilent_201184,12081.25,7.478,0.01,0.1,14
agilent_201650,43.147,7.136,0.022,34,17
agilent_203503,9.524,10.413,0,444,49
agilent_204624,65.465,9.557,0,29,22
agilent_205573,12081.25,7.478,0.01,0.1,14
agilent_205835,172.589,7.005,0.029,7,14
agilent_206569,19.612,13.347,0,176,40
agilent_207538,10.505,7.566,0.008,230,28
agilent_207841,13807.143,8.409,0.001,0.1,16
agilent_208850,11218.304,7.008,0.029,0.1,13
agilent_208892,11218.304,7.008,0.029,0.1,13
agilent_209928,41.488,10.045,0,52,25
agilent_212238,11218.304,7.008,0.029,0.1,13
agilent_212510,12944.197,7.945,0.003,0.1,15
agilent_21301,14670.09,8.872,0,0.1,17
agilent_213210,25.888,7.793,0.005,70,21
agilent_214626,11218.304,7.008,0.029,0.1,13
agilent_21513,5.718,9.069,0,1298,86
agilent_21712,5.673,8.769,0.001,1582,104
agilent_219934,10.355,7.953,0.003,250,30
agilent_220001,14.78,9.615,0,181,31
agilent_220184,25.749,13.286,0,124,37
agilent_220346,134.835,11.503,0,16,25
agilent_220352,1467.009,8.801,0,1,17
agilent_220657,8.101,12.131,0,767,72
agilent_220721,10.633,11.66,0,422,52
agilent_22084,27.738,10.004,0,84,27
agilent_22085,12944.197,7.945,0.003,0.1,15
agilent_221016,10.111,10.026,0,367,43
agilent_221096,36.335,12.363,0,76,32
agilent_222162,9.7,7.452,0.01,258,29
agilent_222757,44.539,6.801,0.047,31,16
agilent_223185,12.605,13.196,0,356,52
agilent_223646,16.25,9.338,0,154,29
agilent_224314,8.52,7.174,0.02,314,31
agilent_224401,13.502,7.056,0.026,147,23
agilent_225394,20710.715,12.069,0,0.1,24
agilent_225569,20.805,13.231,0,4351,1049
agilent_225587,103.554,8.399,0.001,15,18
agilent_226611,7.948,13.645,0,912,84
agilent_226835,11.268,10.555,0,314,41
agilent_227392,6.773,8.798,0,688,54
agilent_227650,14670.09,8.872,0,0.1,17
agilent_229243,12.662,14.913,0,443,65
agilent_229456,33.367,1000,0,150,58
agilent_229950,302.031,7.195,0.019,4,14
agilent_229990,172.589,1000,0,19,38
agilent_231419,9.302,9.954,0,436,47
agilent_231465,56.423,7.445,0.011,26,17
agilent_235082,26.446,1000,0,1377,422
agilent_235302,36.509,8.734,0.001,52,22
agilent_235466,22.731,1000,0,205,54
agilent_235643,10.534,11.586,0,426,52
agilent_235895,71.912,6.889,0.038,18,15
agilent_236216,17.721,7.699,0.006,112,23
agilent_236613,18.943,15.955,0,246,54
agilent_236864,27.075,15.109,0,647,203
agilent_237349,16.221,8.115,0.002,133,25
agilent_237615,1121.83,6.939,0.034,1,13
agilent_237631,28.765,7.281,0.015,57,19
agilent_237660,19.014,8.82,0,118,26
agilent_237796,20710.715,12.069,0,0.1,24
agilent_238097,6.154,9.454,0,1949,139
agilent_238494,1553.304,9.262,0,1,18
agilent_238578,14670.09,8.872,0,0.1,17
agilent_239848,1121.83,6.939,0.034,1,13
agilent_240269,47.377,11.389,0,51,28
agilent_240609,12944.197,7.945,0.003,0.1,15
agilent_241343,12.37,14.913,0,579,83
agilent_241381,101.173,14.913,0,29,34
agilent_24181,35.302,7.237,0.017,44,18
agilent_241976,560.915,6.866,0.04,2,13
agilent_242591,11.478,7.653,0.007,203,27
agilent_24295,20.652,9.672,0,117,28
agilent_243108,10.057,8.027,0.003,266,31
agilent_243736,13.276,8.412,0.001,182,28
agilent_26654,29.188,8.705,0.001,68,23
agilent_27645,14670.09,8.872,0,0.1,17
agilent_27755,10.812,12.087,0,431,54
agilent_28689,70.605,8.066,0.003,22,18
agilent_30446,184.917,7.468,0.01,7,15
agilent_31584,184.095,14.676,0,15,32
agilent_321,5.172,7.347,0.013,901,54
agilent_33972,323.605,7.66,0.006,4,15
agilent_3466,36.397,1000,0,1387,585
agilent_3467,22.503,1000,0,1369,357
agilent_3468,215.737,1000,0,26,65
agilent_3616,22.301,8.185,0.002,89,23
agilent_36653,11.612,11.272,0,327,44
agilent_36834,12081.25,7.478,0.01,0.1,14
agilent_38555,32791.965,1000,0,0.1,38
agilent_39198,12.534,1000,0,1074,156
agilent_398,1380.714,8.339,0.001,1,16
agilent_42503,73.019,9.685,0,26,22
agilent_45161,8.293,7.172,0.02,333,32
agilent_45284,26.831,15.654,0,238,74
agilent_45754,9.345,9.985,0,434,47
agilent_46206,12944.197,7.945,0.003,0.1,15
agilent_4722,33.617,1000,0,249,97
agilent_47468,12944.197,7.945,0.003,0.1,15
agilent_4833,172.589,12.113,0,13,26
agilent_4834,1423.862,15.955,0,2,33
agilent_48632,35.177,15.654,0,157,64
agilent_4968,10.741,7.885,0.004,233,29
agilent_5090,65.417,15.955,0,62,47
agilent_5189,14.979,13.564,0,265,46
agilent_53727,28.601,1000,0,175,58
agilent_542,16.503,15.654,0,1302,249
agilent_54820,11218.304,7.008,0.029,0.1,13
agilent_5511,14.492,6.936,0.034,131,22
agilent_55558,18.167,6.798,0.047,95,20
agilent_560,21.034,15.176,0,480,117
agilent_60297,604.063,7.334,0.014,2,14
agilent_61084,22.692,15.477,0,270,71
agilent_61894,15533.036,9.333,0,0.1,18
agilent_62258,15533.036,9.333,0,0.1,18
agilent_6339,8.858,7.383,0.012,302,31
agilent_65600,29.778,1000,0,142,49
agilent_65692,1208.125,7.408,0.011,1,14
agilent_66572,1984.777,11.544,0,1,23
agilent_6664,40.172,15.176,0,522,243
agilent_67747,15.286,9.733,0,175,31
agilent_67904,12944.197,7.945,0.003,0.1,15
agilent_69142,1380.714,8.339,0.001,1,16
agilent_7108,24.288,15.477,0,302,85
agilent_7143,6.08,9.186,0,1987,140
agilent_71450,38.684,10.292,0,58,26
agilent_71790,39.828,7.403,0.012,39,18
agilent_7255,6.276,10.343,0,1045,76
agilent_7301,9.952,14.463,0,659,76
agilent_7302,13.696,15.353,0,964,153
agilent_7303,11.672,15.353,0,658,89
agilent_73216,17258.929,10.25,0,0.1,20
agilent_73243,15.264,15.176,0,995,176
agilent_73518,11218.304,7.008,0.029,0.1,13
agilent_7521,1294.42,7.875,0.004,1,15
agilent_7538,28.438,15.955,0,528,174
agilent_75453,16395.983,9.792,0,0.1,19
agilent_75832,402.708,7.263,0.016,3,14
agilent_77528,75.939,9.728,0,25,22
agilent_7811,10.45,13.905,0,545,66
agilent_7826,5.399,8.012,0.003,927,58
agilent_78979,12944.197,7.945,0.003,0.1,15
agilent_7913,10.644,7.617,0.007,227,28
agilent_79560,24.205,8.349,0.001,82,23
agilent_79646,14.89,13.068,0,255,44
agilent_80375,16.525,15.654,0,282,54
agilent_8318,46.372,1000,0,495,266
agilent_84547,146.701,8.212,0.002,10,17
agilent_85461,12944.197,7.945,0.003,0.1,15
agilent_86177,11.623,14.913,0,542,73
agilent_86382,24.98,8.069,0.003,76,22
agilent_8683,41.963,14.411,0,2369,1152
agilent_87750,323.605,7.66,0.006,4,15
agilent_8775,6.051,7.277,0.016,656,46
agilent_8842,12.246,14.699,0,451,64
agilent_88762,47.689,8.765,0.001,38,21
agilent_89024,39.428,1000,0,116,53
agilent_8947,35.331,14.724,0,955,391
agilent_897,7.022,7.047,0.026,467,38
agilent_89806,1898.482,11.09,0,1,22
