ID,fold_change,neglogp,padj,input,count
agilent_100013,16.372,14.449,0,417,101
agilent_101400,25.087,8.397,0.001,97,36
agilent_101813,11.722,8.643,0.001,346,60
agilent_102644,27037.968,11.699,0,0.1,40
agilent_104204,258.363,1000,0,45,172
agilent_105922,8.869,8.434,0.001,564,74
agilent_106204,29.676,8.67,0.001,82,36
agilent_106304,109.842,7.508,0.009,16,26
agilent_106757,11.77,15.051,0,804,140
agilent_107529,74.02,15.654,0,263,288
agilent_108170,27.147,15.256,0,249,100
agilent_108515,980.126,8.754,0.001,2,29
agilent_109987,20.564,15.477,0,355,108
agilent_110216,17.495,15.353,0,510,132
agilent_11147,44.244,9.191,0,55,36
agilent_112066,344.12,1000,0,33,168
agilent_11266,20.195,15.353,0,405,121
agilent_112839,45.618,15.654,0,203,137
agilent_114714,16.223,10.36,0,250,60
agilent_116255,69.848,8.452,0.001,30,31
agilent_122417,14.394,11.529,0,371,79
agilent_123887,33121.511,14.015,0,0.1,49
agilent_125602,81.114,8.316,0.001,25,30
agilent_126053,24.736,15.176,0,276,101
agilent_126717,18.947,8.011,0.003,132,37
agilent_12685,14.657,10.676,0,1425,309
agilent_127163,9.459,9.814,0,636,89
agilent_127197,38.953,15.654,0,236,136
agilent_127869,13.77,13.968,0,1237,252
agilent_130277,8.566,6.903,0.037,434,55
agilent_130565,38.063,13.732,0,103,58
agilent_130606,330.022,1000,0,17,83
agilent_130807,9.228,9.259,0,608,83
agilent_132087,34.963,10.838,0,87,45
agilent_132331,30417.714,12.99,0,0.1,45
agilent_133222,195.462,15.654,0,120,347
agilent_133512,9.093,7.571,0.008,446,60
agilent_133853,9.591,11.083,0,740,105
agilent_134645,75.394,14.841,0,52,58
agilent_135562,15.072,6.771,0.049,148,33
agilent_135762,12.144,8.136,0.002,295,53
agilent_138610,21.805,15.477,0,372,120
agilent_13945,19.593,8.617,0.001,138,40
agilent_140018,19.313,7.515,0.009,119,34
agilent_140119,102.801,1000,0,96,146
agilent_140161,9.539,9.319,0,574,81
agilent_141285,21.86,13.972,0,235,76
agilent_142054,11.447,1000,0,933,158
agilent_143140,13.444,6.859,0.04,181,36
agilent_143743,21.156,8.994,0,131,41
agilent_144773,15.982,10.365,0,258,61
agilent_144937,19.294,15.176,0,515,147
agilent_145470,14.695,11.74,0,368,80
agilent_146622,11.177,11.979,0,635,105
agilent_146691,16898.73,7.766,0.005,0.1,25
agilent_146830,10.399,6.994,0.03,312,48
agilent_147056,44.514,7.158,0.02,41,27
agilent_149669,18.613,1000,0,828,228
agilent_149779,376.893,1000,0,33,184
agilent_150117,88.941,7.16,0.02,19,25
agilent_150745,2095.443,9.318,0,1,31
agilent_151936,52.015,15.176,0,282,217
agilent_151937,59.167,14.841,0,401,351
agilent_152040,19.664,7.177,0.019,110,32
agilent_153127,12.832,8.681,0.001,295,56
agilent_159126,10.627,13.001,0,776,122
agilent_160014,10.791,12.483,0,1115,178
agilent_16034,18.762,1000,0,508,141
agilent_161014,18250.628,8.298,0.001,0.1,27
agilent_161116,337.975,7.587,0.008,5,25
agilent_161190,81.677,8.08,0.002,24,29
agilent_16154,85.563,1000,0,79,100
agilent_161566,129.557,6.828,0.043,12,23
agilent_16209,19.449,15.051,0,709,204
agilent_162348,1115.316,9.805,0,2,33
agilent_163308,40.016,14.913,0,375,222
agilent_163345,11.065,7.91,0.004,336,55
agilent_165182,946.329,15.654,0,4,56
agilent_165236,18926.578,8.562,0.001,0.1,28
agilent_165902,10.256,8.632,0.001,435,66
agilent_166306,8.625,10.871,0,1011,129
agilent_167411,9.799,7.802,0.005,407,59
agilent_167688,11.021,6.972,0.031,276,45
agilent_167903,11.345,11.459,0,572,96
agilent_168007,912.531,8.225,0.002,2,27
agilent_168576,19.127,14.808,0,675,191
agilent_168736,33.797,8.857,0,72,36
agilent_169204,14.982,8.141,0.002,194,43
agilent_169880,23.718,9.076,0,114,40
agilent_171275,12.343,7.202,0.018,230,42
agilent_171770,97.488,1000,0,606,874
agilent_172004,15.547,10.948,0,300,69
agilent_172772,13.29,9.045,0,295,58
agilent_173437,23.906,6.898,0.037,82,29
agilent_173726,8.202,10.473,0,989,120
agilent_173808,152.089,7.89,0.004,12,27
agilent_174351,1689.873,7.732,0.005,1,25
agilent_174652,270.38,7.286,0.015,6,24
agilent_174741,20278.476,9.09,0,0.1,30
agilent_174958,13.781,15.477,0,775,158
agilent_176296,8.98,9.671,0,685,91
agilent_176428,54.258,15.256,0,446,358
agilent_17713,10.917,7.108,0.023,291,47
agilent_177203,114.526,15.654,0,193,327
agilent_177287,212.441,12.252,0,14,44
agilent_178076,26.845,14.808,0,700,278
agilent_178095,55.766,15.955,0,160,132
agilent_178147,23.526,13.913,0,204,71
agilent_179674,42.594,15.955,0,146,92
agilent_180309,149.455,15.477,0,308,681
agilent_180654,27.779,7.311,0.014,73,30
agilent_180726,13.884,7.227,0.017,185,38
agilent_180974,44.197,12.525,0,78,51
agilent_181234,37.246,6.991,0.03,49,27
agilent_181952,14.113,7.285,0.015,182,38
agilent_184888,259.114,7.019,0.028,6,23
agilent_185150,36.128,7.847,0.004,58,31
agilent_186055,19.052,12.659,0,259,73
agilent_18612,8.78,8.983,0,639,83
agilent_187158,6.989,6.793,0.047,648,67
agilent_187854,18.818,12.854,0,273,76
agilent_188119,49.916,12.039,0,65,48
agilent_188812,12.708,12.138,0,500,94
agilent_18885,9.544,10.439,0,687,97
agilent_190401,16222.781,7.499,0.009,0.1,24
agilent_191305,21.507,1000,0,638,203
agilent_193189,9.212,8.848,0,565,77
agilent_193401,43.475,1000,0,227,146
agilent_194076,16222.781,7.499,0.009,0.1,24
agilent_19497,75.788,9.935,0,33,37
agilent_195846,79.885,13.514,0,44,52
agilent_196845,10.475,7.493,0.009,342,53
agilent_19690,9.195,7.363,0.013,419,57
agilent_19771,13.674,8.737,0.001,262,53
agilent_198444,11.87,15.109,0,820,144
agilent_198635,70.534,12.451,0,46,48
agilent_198657,6.964,6.845,0.042,660,68
agilent_198671,46.162,7.418,0.011,41,28
agilent_198823,9.307,7.411,0.011,414,57
agilent_199596,13.615,9.078,0,283,57
agilent_199930,31.685,15.477,0,224,105
agilent_20069,13.786,9.612,0,304,62
agilent_200957,16222.781,7.499,0.009,0.1,24
agilent_20117,36.212,10.897,0,84,45
agilent_201880,18.887,8.177,0.002,136,38
agilent_201949,11.831,1000,0,897,157
agilent_202212,9.634,7.998,0.003,435,62
agilent_20338,29.573,1000,0,176,77
agilent_20420,98.22,15.654,0,309,449
agilent_205647,71.991,1000,0,246,262
agilent_205649,32.707,7.513,0.009,62,30
agilent_205650,55.666,10.81,0,51,42
agilent_206345,16.775,7.201,0.018,137,34
agilent_206645,22.873,1000,0,1055,357
agilent_206834,17.444,10.375,0,217,56
agilent_208438,11.875,10.427,0,444,78
agilent_209928,61.095,12.063,0,52,47
agilent_210454,53.296,10.533,0,52,41
agilent_212238,18926.578,8.562,0.001,0.1,28
agilent_213274,9.039,9.779,0,688,92
agilent_21433,13.016,11.829,0,457,88
agilent_214626,16898.73,7.766,0.005,0.1,25
agilent_21513,16.248,1000,0,1298,312
agilent_215339,22.384,15.477,0,305,101
agilent_218880,26.687,15.051,0,347,137
agilent_21920,31.544,10.028,0,90,42
agilent_219925,15.993,9.58,0,224,53
agilent_220150,48.907,1000,0,170,123
agilent_220640,16.813,14.292,0,394,98
agilent_220721,10.251,8.453,0.001,422,64
agilent_22084,28.969,8.633,0.001,84,36
agilent_221016,10.498,7.888,0.004,367,57
agilent_221096,156.536,1000,0,76,176
agilent_221579,9.467,7.479,0.01,407,57
agilent_221942,10.05,11.968,0,760,113
agilent_221984,32.238,15.654,0,195,93
agilent_222162,30.13,15.654,0,258,115
agilent_222335,166.734,10.414,0,15,37
agilent_222381,19.138,14.699,0,332,94
agilent_222763,10.018,10.022,0,587,87
agilent_222997,18.296,7.752,0.005,133,36
agilent_223034,48.668,9.295,0,50,36
agilent_223183,75.455,12.519,0,43,48
agilent_223185,291.645,15,0,356,1536
agilent_2232,56.676,15.654,0,130,109
agilent_223567,19.801,11.304,0,198,58
agilent_223646,75.935,15.654,0,154,173
agilent_223692,23.129,15.256,0,415,142
agilent_224194,60.315,14.557,0,65,58
agilent_224251,11.668,8.427,0.001,336,58
agilent_224314,17.652,12.996,0,314,82
agilent_2243,31.92,8.348,0.001,72,34
agilent_224607,17.603,9.716,0,192,50
agilent_224850,79.811,1000,0,83,98
agilent_225394,27713.917,11.958,0,0.1,41
agilent_225438,13.354,11.341,0,410,81
agilent_22573,21.857,11.238,0,167,54
agilent_225863,48.096,9.51,0,52,37
agilent_225964,18.263,15,0,607,164
agilent_226015,27.51,15.654,0,258,105
agilent_226077,16.988,15.477,0,569,143
agilent_226611,23.866,1000,0,912,322
agilent_227077,17.49,7.807,0.005,143,37
agilent_227158,21.657,7.544,0.008,103,33
agilent_227392,8.646,9.258,0,688,88
agilent_227745,46.646,15.654,0,242,167
agilent_228087,46.472,11.047,0,64,44
agilent_228606,20.278,10.029,0,160,48
agilent_228689,8.825,10.043,0,743,97
agilent_228814,59.402,7.859,0.004,33,29
agilent_228964,9.57,8.052,0.003,445,63
agilent_229289,28.109,9.817,0,101,42
agilent_229425,24.141,15.256,0,252,90
agilent_229718,54.341,1000,0,102,82
agilent_229757,48.819,7.006,0.029,36,26
agilent_229950,371.772,6.82,0.044,4,22
agilent_230434,9.632,7.454,0.01,393,56
agilent_230614,39.489,15.477,0,861,503
agilent_230687,10.727,8.557,0.001,397,63
agilent_230820,55.666,7.575,0.008,34,28
agilent_230838,18.278,10.271,0,196,53
agilent_230924,15.739,11.908,0,335,78
agilent_231419,26.511,15.955,0,436,171
agilent_231437,13.687,12.986,0,484,98
agilent_231895,8.499,9.027,0,684,86
agilent_23320,74.853,1000,0,149,165
agilent_234561,11.565,8.389,0.001,339,58
agilent_234840,43.803,15.256,0,429,278
agilent_235465,9.267,6.836,0.043,372,51
agilent_235466,24.73,14.75,0,205,75
agilent_235515,17.633,7.661,0.006,138,36
agilent_235576,20.64,15.955,0,691,211
agilent_235855,32.434,15.654,0,471,226
agilent_235895,112.658,8.504,0.001,18,30
agilent_236149,25.75,10.787,0,126,48
agilent_236420,44.051,14.036,0,89,58
agilent_236639,71.079,15.256,0,291,306
agilent_236686,12.475,7.347,0.013,233,43
agilent_236864,154.204,1000,0,647,1476
agilent_237349,105.712,1000,0,133,208
agilent_237615,2298.227,10.104,0,1,34
agilent_237672,12.822,13.622,0,601,114
agilent_237918,25.608,14.523,0,1428,541
agilent_23806,26.39,12.475,0,146,57
agilent_238345,11.612,9.092,0,1368,235
agilent_238370,88.059,15.654,0,109,142
agilent_238574,15.381,7.578,0.008,167,38
agilent_23878,25.832,12.887,0,157,60
agilent_238918,7.392,8.181,0.002,759,83
agilent_238965,11.421,7.487,0.01,290,49
agilent_238997,60.602,1000,0,87,78
agilent_239180,51.501,8.435,0.001,42,32
agilent_239349,23.338,15.256,0,391,135
agilent_239421,6.061,7.088,0.024,881,79
agilent_239521,33.326,15.955,0,215,106
agilent_239900,7.173,8.725,0.001,867,92
agilent_240068,39.328,8.164,0.002,55,32
agilent_240086,28.621,10.855,0,111,47
agilent_240248,7.35,7.285,0.015,653,71
agilent_240382,7.988,8.156,0.002,660,78
agilent_240518,37.727,1000,0,129,72
agilent_240651,19.499,6.781,0.048,104,30
agilent_241029,10.162,12.925,0,1031,155
agilent_241103,94.633,14.612,0,40,56
agilent_241214,16.068,10.11,0,244,58
agilent_241343,20.78,14.724,0,579,178
agilent_241380,20.753,7.847,0.004,114,35
agilent_241497,26.15,11.745,0,137,53
agilent_241665,213.769,1000,0,80,253
agilent_241791,45.868,1000,0,196,133
agilent_24181,39.942,6.833,0.043,44,26
agilent_242008,172.917,15.955,0,43,110
agilent_242261,9.877,8.283,0.002,438,64
agilent_242591,30.634,15.654,0,203,92
agilent_242702,405.57,13.472,0,8,48
agilent_243165,24.652,15.256,0,255,93
agilent_24348,10.613,8.699,0.001,414,65
agilent_243890,16.899,11.841,0,292,73
agilent_24623,75.105,15.477,0,54,60
agilent_2469,13.225,13.148,0,1242,243
agilent_24864,10.215,10.624,0,622,94
agilent_25012,32.271,15.955,0,155,74
agilent_25314,26.116,8.057,0.003,88,34
agilent_25720,6.012,7.176,0.019,922,82
agilent_26007,946.329,8.49,0.001,2,28
agilent_28188,13.266,7.514,0.009,214,42
agilent_28564,24.158,15.353,0,277,99
agilent_29154,26.137,7.02,0.028,75,29
agilent_3073,27.223,15.955,0,730,294
agilent_33018,73.362,15.654,0,504,547
agilent_33076,17.456,14.097,0,364,94
agilent_34554,37.96,15.654,0,203,114
agilent_34602,20.392,10.928,0,179,54
agilent_35132,25.599,15.176,0,573,217
agilent_35407,34.302,8.443,0.001,67,34
agilent_36582,16.794,8.157,0.002,161,40
agilent_3692,12.82,8.584,0.001,290,55
agilent_37391,12.674,9.292,0,336,63
agilent_37606,182.904,1000,0,102,276
agilent_38555,52048.089,1000,0,0.1,77
agilent_38611,7.128,8.487,0.001,844,89
agilent_38712,7.089,8.242,0.002,820,86
agilent_38799,16.668,15.353,0,880,217
agilent_39688,137.525,14.122,0,1708,3475
agilent_39948,19.327,14.808,0,675,193
agilent_39949,15.373,10.786,0,299,68
agilent_41125,53.196,15.477,0,169,133
agilent_41251,50.546,15.353,0,337,252
agilent_4197,8.923,7.931,0.003,500,66
agilent_4207,25.737,15.256,0,239,91
agilent_42466,14.307,10.487,0,326,69
agilent_43764,19.211,13.472,0,285,81
agilent_44655,8.247,7.186,0.019,500,61
agilent_45161,123.011,15.654,0,333,606
agilent_45284,107.357,15.955,0,238,378
agilent_45754,156.683,15.353,0,434,1006
agilent_46206,22306.324,9.877,0,0.1,33
agilent_4722,17.374,11.171,0,249,64
agilent_4825,18.378,11.002,0,217,59
agilent_4863,18250.628,8.298,0.001,0.1,27
agilent_49300,19.239,8.048,0.003,130,37
agilent_49314,22.198,15.353,0,405,133
agilent_5090,35.978,8.283,0.002,62,33
agilent_51451,28.79,10.669,0,108,46
agilent_5191,11.015,6.881,0.038,270,44
agilent_52480,63.891,1000,0,73,69
agilent_53727,136.735,15.477,0,175,354
agilent_54756,161.477,11.876,0,18,43
agilent_560,18.729,15.477,0,480,133
agilent_60297,8381.77,15.955,0,2,248
agilent_60579,56.74,15.353,0,411,345
agilent_60654,6.513,7.011,0.028,768,74
agilent_6224,32.42,1000,0,319,153
agilent_63822,362.878,1000,0,19,102
agilent_64021,17.525,8.598,0.001,162,42
agilent_65768,22306.324,9.877,0,0.1,33
agilent_6649,307.25,13.886,0,11,50
agilent_66572,2163.037,9.581,0,1,32
agilent_67747,14.291,7.197,0.019,175,37
agilent_69388,88.941,7.16,0.02,19,25
agilent_6984,33.906,15.654,0,311,156
agilent_71450,882.23,1000,0,58,757
agilent_71790,65.862,10.051,0,39,38
agilent_74062,30.803,8.725,0.001,79,36
agilent_7434,8.784,7.335,0.013,454,59
agilent_7439,129.99,7.331,0.014,13,25
agilent_7520,47.88,8.823,0,48,34
agilent_7522,38.831,7.032,0.027,47,27
agilent_7538,25.732,15.051,0,528,201
agilent_76036,18.388,14.875,0,522,142
agilent_77156,10.29,8.56,0.001,427,65
agilent_77455,6.214,6.84,0.042,805,74
agilent_77528,94.633,9.618,0,25,35
agilent_783,6.348,6.917,0.035,788,74
agilent_78979,18250.628,8.298,0.001,0.1,27
agilent_79076,13.105,8.88,0,294,57
agilent_79803,7.088,6.989,0.03,658,69
agilent_80555,13.584,14.778,0,831,167
agilent_81273,30.637,1000,0,278,126
agilent_819,18.096,7.376,0.012,127,34
agilent_82661,15.021,8.028,0.003,189,42
agilent_84340,39.942,6.833,0.043,44,26
agilent_8616,53.281,15.955,0,85,67
agilent_86177,10.227,9.817,0,542,82
agilent_86382,31.129,8.528,0.001,76,35
agilent_8842,12.14,10.811,0,451,81
agilent_88530,10.612,6.897,0.037,293,46
agilent_8927,118.724,1000,0,78,137
agilent_90777,10.573,11.288,0,1170,183
agilent_90820,31.743,15.477,0,181,85
agilent_93129,245.032,8.544,0.001,8,29
agilent_94120,17.738,7.844,0.004,141,37
agilent_9537,14.917,10.233,0,290,64
agilent_96054,92.175,8.394,0.001,22,30
agilent_9701,17.606,15.051,0,526,137
agilent_98149,10.504,10.191,0,547,85
agilent_98958,12.028,7.818,0.004,281,50
corona2_11424,16.442,7.477,0.01,148,36
corona2_12126,14.491,15.955,0,821,176
corona2_12874,19.063,1000,0,695,196
corona2_12939,16.253,1000,0,1177,283
corona2_5933,51.586,7.745,0.005,38,29
corona2_6344,12.562,15.051,0,904,168
corona2_821,12.444,7.432,0.011,239,44
corona2_8693,14870.882,6.962,0.032,0.1,22
twist_16943,83.689,7.37,0.012,21,26
twist_17818,195.274,7.719,0.006,9,26
twist_18083,1554.683,7.197,0.019,1,23
twist_18769,27.609,7.091,0.024,71,29
twist_19504,26.582,8.29,0.001,89,35
twist_20411,18.819,9.879,0,176,49
twist_21068,13.592,7.025,0.028,184,37
twist_25682,110.741,1000,0,47,77
twist_26858,63.221,1000,0,170,159
twist_27464,13.519,8.306,0.001,245,49
twist_27640,19.011,7.842,0.004,128,36
twist_29385,13.71,14.841,0,636,129
twist_30394,8.19,7.809,0.005,586,71
twist_30833,9.451,10.021,0,658,92
twist_30858,8.421,8.086,0.002,586,73
twist_31049,7.038,7.886,0.004,1066,111
twist_32032,63.717,1000,0,122,115
twist_32218,76.812,7.08,0.024,22,25
twist_32599,12.183,11.763,0,516,93
twist_32625,22306.324,9.877,0,0.1,33
twist_34128,22.903,1000,0,546,185
twist_34337,11.414,11.092,0,533,90
twist_35479,56.872,15.109,0,788,663
twist_36700,30.232,15.955,0,237,106
twist_37694,1554.683,7.197,0.019,1,23
twist_37844,461.899,11.739,0,6,41
twist_38418,73.003,7.53,0.009,25,27
twist_4174,371.772,6.82,0.044,4,22
twist_42636,36.359,15.353,0,409,220
twist_42695,193.772,11.964,0,15,43
twist_42794,17574.679,8.032,0.003,0.1,26
twist_44831,17.74,10.688,0,221,58
twist_45836,19.833,15.256,0,334,98
twist_47588,185.886,9.465,0,12,33
twist_47589,78.497,9.725,0,31,36
twist_50284,1487.088,6.928,0.034,1,22
twist_50452,170.339,1000,0,25,63
twist_51340,456.266,8.153,0.002,4,27
twist_53500,14.583,11.088,0,343,74
twist_54095,61.776,1000,0,546,499
twist_54435,20.371,9.405,0,146,44
twist_55740,37177.206,15.477,0,0.1,55
twist_5594,43.738,8.503,0.001,51,33
twist_56481,9.461,9.405,0,593,83
twist_58043,13.09,9.253,0,315,61
twist_58058,7.579,7.63,0.007,660,74
twist_58213,315.443,8.348,0.001,6,28
twist_58802,71.457,9.887,0,35,37
twist_59318,45.587,7.636,0.007,43,29
