ID,fold_change,neglogp,padj,input,count
agilent_100013,12.821,10.876,0,417,96
agilent_101300,11.738,9.937,0,427,90
agilent_102644,17821.499,8.352,0.001,0.1,32
agilent_104204,216.581,15.955,0,45,175
agilent_106204,25.129,7.186,0.02,82,37
agilent_106757,8.104,9.593,0,804,117
agilent_106964,128.52,7.38,0.013,13,30
agilent_107312,36.414,7.166,0.021,52,34
agilent_107529,61.198,15.109,0,263,289
agilent_108170,23.932,15.051,0,249,107
agilent_108497,189.353,8.373,0.001,10,34
agilent_109987,25.414,15.477,0,355,162
agilent_110216,15.397,14.778,0,510,141
agilent_11147,51.642,10.727,0,55,51
agilent_112066,317.277,1000,0,33,188
agilent_112839,39.78,15.477,0,203,145
agilent_113046,21.42,8.198,0.002,117,45
agilent_114714,14.48,9.206,0,250,65
agilent_116255,55.692,6.847,0.044,30,30
agilent_121626,403.768,7.509,0.01,4,29
agilent_122417,14.711,11.881,0,371,98
agilent_123887,37870.686,1000,0,0.1,68
agilent_126053,20.985,14.654,0,276,104
agilent_126717,17.298,7.122,0.023,132,41
agilent_12685,14.812,1000,0,1425,379
agilent_127197,35.87,15.051,0,236,152
agilent_127869,7.519,9.731,0,1237,167
agilent_128338,16707.656,7.908,0.004,0.1,30
agilent_130277,11.934,10.239,0,434,93
agilent_130565,28.657,10.11,0,103,53
agilent_130606,327.601,1000,0,17,100
agilent_132087,28.806,8.767,0.001,87,45
agilent_132331,26732.249,11.845,0,0.1,48
agilent_133222,151.761,15.353,0,120,327
agilent_133853,9.558,10.987,0,740,127
agilent_13426,9.848,6.789,0.05,328,58
agilent_134645,68.544,13.548,0,52,64
agilent_135562,19.944,9.209,0,148,53
agilent_135762,11.705,7.876,0.004,295,62
agilent_138610,16.618,13.66,0,372,111
agilent_139111,25.092,7.854,0.004,91,41
agilent_140119,103.843,15.654,0,96,179
agilent_140534,17.305,8.994,0,177,55
agilent_140976,34.513,8.884,0,71,44
agilent_141285,25.358,15.176,0,235,107
agilent_142054,7.76,10.079,0,933,130
agilent_142531,10.006,8.132,0.002,423,76
agilent_143743,20.831,8.747,0.001,131,49
agilent_144340,14.379,9.662,0,275,71
agilent_144773,12.952,8.217,0.002,258,60
agilent_144937,9.3,8.399,0.001,515,86
agilent_146622,9.209,9.442,0,635,105
agilent_146830,10.889,7.458,0.011,312,61
agilent_149669,14.125,1000,0,828,210
agilent_149779,303.776,1000,0,33,180
agilent_15071,1559.381,7.419,0.012,1,28
agilent_150745,2673.225,11.802,0,1,48
agilent_151936,43.053,15.109,0,282,218
agilent_151937,46.943,15.176,0,401,338
agilent_152040,26.327,9.764,0,110,52
agilent_153127,12.082,8.185,0.002,295,64
agilent_157741,14479.968,7.012,0.03,0.1,26
agilent_159126,6.531,7.082,0.025,776,91
agilent_160014,8.691,11.801,0,1115,174
agilent_16034,17.431,15.654,0,508,159
agilent_161014,18378.421,8.573,0.001,0.1,33
agilent_161274,323.015,7.467,0.011,5,29
agilent_16154,85.301,15.955,0,79,121
agilent_16209,15.474,1000,0,709,197
agilent_162348,1754.304,14.955,0,2,63
agilent_163308,28.069,14.913,0,375,189
agilent_164364,313.269,10.849,0,8,45
agilent_165182,807.537,13.812,0,4,58
agilent_167411,9.168,7.113,0.024,407,67
agilent_167903,7.497,6.824,0.046,572,77
agilent_168007,807.537,7.597,0.008,2,29
agilent_168576,13.944,1000,0,675,169
agilent_169204,14.067,7.537,0.009,194,49
agilent_169464,8.835,7.715,0.006,498,79
agilent_169880,20.03,7.435,0.011,114,41
agilent_171657,8.344,8.01,0.003,594,89
agilent_171770,69.202,1000,0,606,753
agilent_172004,12.067,8.255,0.002,300,65
agilent_173808,245.974,12.415,0,12,53
agilent_174652,278.461,7.648,0.007,6,30
agilent_174905,47.957,6.904,0.038,36,31
agilent_174958,10.779,13.146,0,775,150
agilent_176428,33.715,1000,0,446,270
agilent_177144,61.453,7.313,0.015,29,32
agilent_177203,105.036,15.256,0,193,364
agilent_177287,175.033,10.404,0,14,44
agilent_17763,158.509,8.919,0,13,37
agilent_178076,20.129,15.256,0,700,253
agilent_178095,49.427,15.955,0,160,142
agilent_178147,17.199,9.879,0,204,63
agilent_178608,334.153,7.689,0.006,5,30
agilent_179674,25.557,12.015,0,146,67
agilent_180309,140.135,1000,0,308,775
agilent_181953,9.234,6.938,0.036,386,64
agilent_183650,403.768,7.509,0.01,4,29
agilent_186055,19.783,13.459,0,259,92
agilent_18612,8.193,8.197,0.002,639,94
agilent_187158,7.563,7.475,0.01,648,88
agilent_187798,27.846,8.198,0.002,84,42
agilent_187854,20.196,14.169,0,273,99
agilent_188119,41.127,9.86,0,65,48
agilent_188812,10.804,9.912,0,500,97
agilent_18885,7.053,7.111,0.024,687,87
agilent_190401,16707.656,7.908,0.004,0.1,30
agilent_191305,15.625,1000,0,638,179
agilent_193401,29.195,15.353,0,227,119
agilent_19497,86.07,11.301,0,33,51
agilent_195846,44.301,7.571,0.008,44,35
agilent_195961,10.191,7.873,0.004,388,71
agilent_19690,9.437,7.515,0.009,419,71
agilent_19771,12.541,7.978,0.003,262,59
agilent_198313,123.318,7.566,0.008,14,31
agilent_198444,9.576,11.941,0,820,141
agilent_198635,69.01,12.224,0,46,57
agilent_198657,8.607,8.906,0,660,102
agilent_199007,17.72,7.323,0.015,132,42
agilent_199596,16.137,11.24,0,283,82
agilent_199930,31.575,15.051,0,224,127
agilent_20117,31.161,9.246,0,84,47
agilent_201949,7.823,9.958,0,897,126
agilent_202212,9.218,7.474,0.01,435,72
agilent_20338,20.568,10.91,0,176,65
agilent_20420,85.25,1000,0,309,473
agilent_20481,11.435,8.872,0,375,77
agilent_205647,62.484,15.353,0,246,276
agilent_205649,35.032,8.015,0.003,62,39
agilent_205650,41.496,8.049,0.003,51,38
agilent_206645,16.734,15.654,0,1055,317
agilent_208438,9.909,8.285,0.002,444,79
agilent_209928,56.763,11.224,0,52,53
agilent_210454,52.479,10.374,0,52,49
agilent_212238,15036.89,7.237,0.018,0.1,27
agilent_213274,7.609,7.848,0.004,688,94
agilent_21433,9.505,8.012,0.003,457,78
agilent_21513,9.439,12.535,0,1298,220
agilent_215339,12.417,8.63,0.001,305,68
agilent_218880,22.63,15.477,0,347,141
agilent_21920,31.559,9.959,0,90,51
agilent_219925,13.426,7.857,0.004,224,54
agilent_220150,30.467,15.654,0,170,93
agilent_220352,1503.689,7.195,0.02,1,27
agilent_220640,13.711,11.361,0,394,97
agilent_22084,28.509,8.408,0.001,84,43
agilent_221096,136.299,1000,0,76,186
agilent_221942,7.621,8.485,0.001,760,104
agilent_221984,38.842,15.654,0,195,136
agilent_222057,91.335,9.389,0,25,41
agilent_222162,38.855,15.353,0,258,180
agilent_222335,129.948,8.411,0.001,15,35
agilent_222381,11.071,7.907,0.004,332,66
agilent_222763,9.203,8.984,0,587,97
agilent_223034,62.375,11.91,0,50,56
agilent_223185,219.484,1000,0,356,1403
agilent_2232,46.696,15.654,0,130,109
agilent_223567,17.72,10.018,0,198,63
agilent_223620,16.121,8.722,0.001,190,55
agilent_223646,71.243,15.256,0,154,197
agilent_223692,20.13,1000,0,415,150
agilent_224194,40.27,9.648,0,65,47
agilent_224251,13.26,9.896,0,336,80
agilent_224314,14.012,10.138,0,314,79
agilent_224607,19.144,10.711,0,192,66
agilent_224850,87.9,15.654,0,83,131
agilent_225394,15036.89,7.237,0.018,0.1,27
agilent_225438,13.04,10.979,0,410,96
agilent_225554,482.666,6.881,0.04,3,26
agilent_225587,103.959,6.867,0.042,15,28
agilent_22573,16.341,8.054,0.003,167,49
agilent_225863,40.698,8.026,0.003,52,38
agilent_225964,14.772,1000,0,607,161
agilent_226015,25.472,15.353,0,258,118
agilent_226077,13.311,13.678,0,569,136
agilent_226351,11.419,7.376,0.013,278,57
agilent_226611,18.808,1000,0,912,308
agilent_227077,25.704,11.888,0,143,66
agilent_227392,10.523,11.698,0,688,130
agilent_227408,12.957,7.967,0.003,245,57
agilent_227745,34.52,15.477,0,242,150
agilent_228386,8.318,6.817,0.047,462,69
agilent_229425,13.702,8.665,0.001,252,62
agilent_229478,6.312,7.935,0.004,997,113
agilent_229718,50.232,15.477,0,102,92
agilent_229757,58.786,8.425,0.001,36,38
agilent_230434,10.203,7.949,0.003,393,72
agilent_230455,22.277,8.439,0.001,115,46
agilent_230614,33.894,1000,0,861,524
agilent_230924,10.806,7.718,0.006,335,65
agilent_231419,20.693,15.654,0,436,162
agilent_231437,15.189,14.449,0,484,132
agilent_23320,59.43,15.955,0,149,159
agilent_234840,30.507,15.256,0,429,235
agilent_235082,5.945,7.001,0.031,1377,147
agilent_235465,9.282,6.821,0.046,372,62
agilent_235466,23.635,14.199,0,205,87
agilent_235576,21.036,15.109,0,691,261
agilent_235855,26.368,14.75,0,471,223
agilent_235895,92.82,7.209,0.019,18,30
agilent_236149,17.238,6.822,0.046,126,39
agilent_236333,12.329,7.816,0.005,262,58
agilent_236420,48.183,15.477,0,89,77
agilent_236639,49.951,15.256,0,291,261
agilent_236864,102.002,15.256,0,647,1185
agilent_237004,84.652,8.739,0.001,25,38
agilent_237349,107.616,15.477,0,133,257
agilent_237615,1447.997,6.97,0.033,1,26
agilent_237672,10.008,10.1,0,601,108
agilent_237918,17.55,1000,0,1428,450
agilent_23806,27.465,13.001,0,146,72
agilent_238184,20.714,9.008,0,2530,941
agilent_238345,12.213,1000,0,1368,300
agilent_238370,90.436,15.477,0,109,177
agilent_238574,16.341,8.054,0.003,167,49
agilent_23878,25.895,12.92,0,157,73
agilent_238997,61.453,1000,0,87,96
agilent_239180,96.798,15.654,0,42,73
agilent_239266,10.824,7.505,0.01,319,62
agilent_239349,17.52,15.051,0,391,123
agilent_239521,22.018,13.545,0,215,85
agilent_239900,5.974,6.894,0.039,867,93
agilent_240068,33.415,6.884,0.04,55,33
agilent_240078,10.176,8.076,0.003,405,74
agilent_240518,25.04,10.598,0,129,58
agilent_241029,5.672,6.929,0.036,1031,105
agilent_241103,59.869,9.396,0,40,43
agilent_241214,15.521,9.84,0,244,68
