ID,fold_change,neglogp,padj,input,count
agilent_100013,11.842,9.815,0,417,84
agilent_102644,17048.55,8.078,0.003,0.1,29
agilent_104204,245.604,1000,0,45,188
agilent_106204,27.243,7.845,0.004,82,38
agilent_106757,6.435,7.008,0.03,804,88
agilent_107529,56.106,15.109,0,263,251
agilent_108170,23.846,15.256,0,249,101
agilent_108339,27.874,10.899,0,116,55
agilent_109987,20.534,1000,0,355,124
agilent_110216,8.069,6.842,0.044,510,70
agilent_112066,263.656,15.955,0,33,148
agilent_11266,11.322,9.126,0,405,78
agilent_112839,40.544,15.955,0,203,140
agilent_113434,14697.026,7.135,0.022,0.1,25
agilent_114714,11.993,7.253,0.017,250,51
agilent_122417,13.469,10.599,0,371,85
agilent_123887,26454.647,11.769,0,0.1,45
agilent_126053,20.235,14.068,0,276,95
agilent_127163,8.504,8.272,0.002,636,92
agilent_127197,31.138,15.353,0,236,125
agilent_128165,20.878,7.4,0.012,107,38
agilent_128495,18224.312,8.546,0.001,0.1,31
agilent_130565,21.118,7.251,0.017,103,37
agilent_130606,287.024,1000,0,17,83
agilent_130807,7.445,6.794,0.049,608,77
agilent_132087,25.678,7.753,0.005,87,38
agilent_132331,14109.145,6.897,0.038,0.1,24
agilent_133222,148.44,15.654,0,120,303
agilent_133853,8.183,8.846,0,740,103
agilent_134645,76.877,15.176,0,52,68
agilent_138610,17.7,14.492,0,372,112
agilent_139987,264.546,7.328,0.014,6,27
agilent_140119,96.143,15.654,0,96,157
agilent_140161,7.784,6.954,0.034,574,76
agilent_140426,66.374,8.316,0.001,31,35
agilent_140534,16.275,8.369,0.001,177,49
agilent_141285,18.012,11.278,0,235,72
agilent_142054,8.317,10.925,0,933,132
agilent_143743,19.746,8.261,0.002,131,44
agilent_144773,12.76,7.957,0.003,258,56
agilent_144937,12.785,12.048,0,515,112
agilent_147458,97.98,10.71,0,27,45
agilent_148375,15872.788,7.608,0.007,0.1,27
agilent_148719,14697.026,7.135,0.022,0.1,25
agilent_149669,13.135,14.75,0,828,185
agilent_149779,336.696,15.955,0,33,189
agilent_15071,1822.431,8.5,0.001,1,31
agilent_150745,1587.279,7.562,0.008,1,27
agilent_151759,15.055,7.231,0.018,164,42
agilent_151936,30.853,15.955,0,282,148
agilent_151937,33.865,15.051,0,401,231
agilent_151980,154.987,7.591,0.008,11,29
agilent_153127,10.562,6.831,0.045,295,53
agilent_155158,22.611,7.02,0.029,91,35
agilent_157741,14697.026,7.135,0.022,0.1,25
agilent_160014,7.751,7.575,0.008,1115,147
agilent_16034,12.383,11.529,0,508,107
agilent_161014,29394.052,12.904,0,0.1,50
agilent_161116,352.729,8.075,0.003,5,30
agilent_161274,317.456,7.372,0.013,5,27
agilent_16154,81.857,15.955,0,79,110
agilent_16209,12.603,14.342,0,709,152
agilent_162348,881.822,8.216,0.002,2,30
agilent_163308,27.591,14.913,0,375,176
agilent_163419,71.386,8.174,0.002,28,34
agilent_164364,257.198,9.105,0,8,35
agilent_165111,305.698,7.137,0.022,5,26
agilent_165182,734.851,12.709,0,4,50
agilent_165236,19400.074,9.011,0,0.1,33
agilent_168576,16.461,15.353,0,675,189
agilent_168736,31.027,8.037,0.003,72,38
agilent_169204,14.242,7.627,0.007,194,47
