ID,fold_change,neglogp,padj,input,count
agilent_100013,18.329,14.206,0,417,114
agilent_102644,18101.999,7.46,0.01,0.1,27
agilent_104204,303.935,1000,0,45,204
agilent_105493,25.431,8.737,0.001,116,44
agilent_105922,9.391,7.639,0.007,564,79
agilent_106204,38.428,10.057,0,82,47
agilent_106757,8.005,8.287,0.002,804,96
agilent_107529,68.829,15.256,0,263,270
agilent_108170,26.925,15.256,0,249,100
agilent_108515,938.622,7.624,0.007,2,28
agilent_109365,19.941,9.745,0,195,58
agilent_109987,27.951,15.477,0,355,148
agilent_110216,18.667,15.109,0,510,142
agilent_11147,41.446,7.64,0.007,55,34
agilent_112066,373.824,1000,0,33,184
agilent_11266,14.568,10.756,0,405,88
agilent_112839,39.302,15.353,0,203,119
agilent_114714,16.627,9.061,0,250,62
agilent_116255,67.044,7.259,0.016,30,30
agilent_120494,972.144,7.861,0.004,2,29
agilent_121626,687.206,10.595,0,4,41
agilent_122417,18.433,13.121,0,371,102
agilent_123887,35533.553,13.512,0,0.1,53
agilent_126053,27.692,15.256,0,276,114
agilent_127163,9.171,7.996,0.003,636,87
agilent_127197,40.34,1000,0,236,142
agilent_127869,12.357,8.694,0.001,1237,228
agilent_128165,21.93,6.935,0.035,107,35
agilent_130277,14.985,11.666,0,434,97
agilent_130565,33.197,10.525,0,103,51
agilent_130606,335.222,1000,0,17,85
agilent_130807,8.822,7.391,0.012,608,80
agilent_13182,18101.999,7.46,0.01,0.1,27
agilent_132087,39.302,10.85,0,87,51
agilent_132331,27488.22,10.747,0,0.1,41
agilent_133222,210.073,15.955,0,120,376
agilent_133853,7.429,7.004,0.03,740,82
agilent_134645,101.856,1000,0,52,79
agilent_134954,26.956,7.992,0.003,97,39
agilent_135562,24.009,9.965,0,148,53
agilent_138610,23.79,15.654,0,372,132
agilent_140119,120.82,15.955,0,96,173
agilent_140161,10.162,8.476,0.001,574,87
agilent_140534,17.424,7.878,0.004,177,46
agilent_141285,26.818,14.75,0,235,94
agilent_142054,9.27,11.17,0,933,129
agilent_142531,10.936,7.924,0.004,423,69
agilent_143743,29.684,11.422,0,131,58
agilent_144340,12.677,6.948,0.034,275,52
agilent_144773,14.812,8.061,0.003,258,57
agilent_144937,17.445,15.256,0,515,134
agilent_145470,16.397,11.428,0,368,90
agilent_146622,11.403,10.344,0,635,108
agilent_146691,26817.776,10.515,0,0.1,40
agilent_148110,22.709,8.153,0.002,124,42
agilent_148719,16761.11,6.982,0.031,0.1,25
agilent_149669,19.595,15.353,0,828,242
agilent_149779,528.229,1000,0,33,260
agilent_149878,838.055,6.909,0.037,2,25
agilent_150745,2547.689,10.013,0,1,38
agilent_151759,17.579,7.562,0.008,164,43
agilent_151936,46.361,15.955,0,282,195
agilent_151937,59.855,15.176,0,401,358
agilent_152040,30.475,10.162,0,110,50
agilent_153109,11.487,6.806,0.047,321,55
agilent_153127,17.272,10.352,0,295,76
agilent_156319,16.059,6.9,0.038,167,40
agilent_157741,18101.999,7.46,0.01,0.1,27
agilent_159126,9.158,9.449,0,776,106
agilent_160014,9.44,8.683,0.001,1115,157
agilent_16034,15.309,12.94,0,508,116
agilent_16154,100.991,1000,0,79,119
agilent_16209,18.156,1000,0,709,192
agilent_162348,905.1,7.386,0.012,2,27
agilent_163308,34.327,1000,0,375,192
agilent_164364,251.417,7.883,0.004,8,30
agilent_164590,16761.11,6.982,0.031,0.1,25
agilent_165182,921.861,13.815,0,4,55
agilent_167411,12.025,8.628,0.001,407,73
agilent_167903,9.611,7.913,0.004,572,82
agilent_168007,1441.455,11.135,0,2,43
agilent_168576,20.56,15.353,0,675,207
