ID,fold_change,neglogp,padj,input,count
agilent_101589,13448.767,8.204,0.002,0.1,18
agilent_102395,23.69,8.139,0.002,82,26
agilent_105317,478.178,13.303,0,5,32
agilent_107529,42.329,15.477,0,263,149
agilent_108515,1158.088,13.126,0,2,31
agilent_109034,14943.075,8.996,0,0.1,20
agilent_111504,11954.46,7.406,0.012,0.1,16
agilent_112839,30.549,15.654,0,203,83
agilent_11947,8.872,13.264,0,800,95
agilent_11948,7.589,12.815,0,1083,110
agilent_12011,20.135,15,0,590,159
agilent_12012,11.817,7.678,0.006,196,31
agilent_12013,25.229,15.654,0,154,52
agilent_12014,4.88,7.767,0.005,1485,97
agilent_12018,26.898,8.684,0.001,75,27
agilent_12019,20.285,1000,0,221,60
agilent_12020,16.581,15.353,0,374,83
agilent_12021,7.181,7.117,0.023,489,47
agilent_12023,7.734,8.596,0.001,541,56
agilent_121197,13448.767,8.204,0.002,0.1,18
agilent_122606,4.93,7.775,0.005,1379,91
agilent_123892,11207.306,7.004,0.03,0.1,15
agilent_125065,4.748,7.263,0.016,1306,83
agilent_12530,8.302,11.082,0,684,76
agilent_125602,89.658,11.489,0,25,30
agilent_127771,33.355,8.477,0.001,56,25
agilent_128338,16437.382,9.782,0,0.1,22
agilent_128495,12701.613,7.806,0.005,0.1,17
agilent_129244,14195.921,8.6,0.001,0.1,19
agilent_129251,234.82,9.312,0,7,22
agilent_129401,8.988,6.846,0.043,266,32
agilent_129495,16.571,14.778,0,257,57
agilent_129884,44.829,8.62,0.001,40,24
agilent_13027,11.12,7.69,0.006,215,32
agilent_130807,7.005,8.181,0.002,608,57
agilent_13182,11954.46,7.406,0.012,0.1,16
agilent_132331,21667.458,12.502,0,0.1,29
agilent_133222,37.358,1000,0,120,60
agilent_135148,18.679,14.808,0,212,53
agilent_138192,13448.767,8.204,0.002,0.1,18
agilent_140151,17.334,8.265,0.002,125,29
agilent_146691,14943.075,8.996,0,0.1,20
agilent_147336,11.541,1000,0,874,135
agilent_148719,14943.075,8.996,0,0.1,20
agilent_149878,784.511,9.247,0,2,21
agilent_150117,70.783,7.135,0.022,19,18
agilent_15071,1942.6,11.271,0,1,26
agilent_150745,2465.607,13.968,0,1,33
agilent_157741,13448.767,8.204,0.002,0.1,18
agilent_157752,18.799,11.178,0,155,39
agilent_158968,32.021,9.015,0,63,27
agilent_161014,11207.306,7.004,0.03,0.1,15
agilent_161116,283.918,8.258,0.002,5,19
agilent_161274,403.463,11.378,0,5,27
agilent_16209,8.852,12.306,0,709,84
agilent_162348,1083.373,12.357,0,2,29
agilent_164280,70.565,6.789,0.049,18,17
agilent_164364,280.183,12.347,0,8,30
agilent_165182,541.686,12.216,0,4,29
agilent_165236,16437.382,9.782,0,0.1,22
agilent_165933,97.705,7.024,0.029,13,17
agilent_166094,8.582,6.915,0.037,296,34
agilent_166869,9.449,8.54,0.001,340,43
agilent_171770,9.617,12.552,0,606,78
agilent_172457,709.796,8.459,0.001,2,19
agilent_174351,1793.169,10.494,0,1,24
agilent_178091,17184.536,10.173,0,0.1,23
agilent_178608,239.089,7.069,0.026,5,16
agilent_179377,1643.738,9.712,0,1,22
agilent_180309,29.11,1000,0,308,120
agilent_180726,16.962,11.604,0,185,42
agilent_180777,11207.306,7.004,0.03,0.1,15
agilent_182601,6.044,8.233,0.002,853,69
agilent_182676,17.997,1000,0,411,99
agilent_183695,13.085,13.946,0,394,69
agilent_184888,224.146,7.802,0.005,6,18
agilent_185562,12701.613,7.806,0.005,0.1,17
agilent_190952,14943.075,8.996,0,0.1,20
agilent_192564,35.668,1000,0,199,95
