ID,fold_change,neglogp,padj,input,count
agilent_100380,851.13,7.639,0.007,2,23
agilent_100772,77.375,6.789,0.048,22,23
agilent_101,6.351,6.888,0.039,909,78
agilent_102275,33.552,8.464,0.001,75,34
agilent_102435,16.098,12.142,0,377,82
agilent_102644,16282.496,7.465,0.01,0.1,22
agilent_104197,41.977,9.703,0,67,38
agilent_104859,44.674,15.654,0,111,67
agilent_105317,2220.34,15.955,0,5,150
agilent_105718,22.856,9.377,0,136,42
agilent_106304,106.391,7.004,0.03,16,23
agilent_107268,16.023,8.166,0.002,194,42
agilent_107529,174.757,15.256,0,263,621
agilent_108088,37.964,15.955,0,193,99
agilent_108474,11.799,12.674,0,759,121
agilent_10960,19.422,1000,0,1288,338
agilent_110334,9.214,9.307,0,739,92
agilent_110337,14.908,1000,0,1117,225
agilent_11048,43.007,10.885,0,74,43
agilent_110572,40.508,15.353,0,243,133
agilent_11154,21.176,15.477,0,353,101
agilent_112066,56.069,7.006,0.029,33,25
agilent_11266,19.188,14.913,0,405,105
agilent_11270,32.594,15.477,0,302,133
agilent_11271,36.822,15.256,0,404,201
agilent_11272,37.006,1000,0,186,93
agilent_11275,24.285,13.074,0,192,63
agilent_11277,18.88,14.778,0,392,100
agilent_11278,7.488,11.947,0,1443,146
agilent_112839,134.898,15.256,0,203,370
agilent_113148,34.058,12.415,0,113,52
agilent_115324,12.261,8.17,0.002,332,55
agilent_115718,22.145,13.981,0,254,76
agilent_1169,10.573,7.726,0.006,406,58
agilent_117669,28.821,15.477,0,321,125
agilent_119064,19.003,8.142,0.002,148,38
agilent_119265,14.212,15.955,0,1479,284
agilent_11947,40.244,14.724,0,800,435
agilent_11948,31.983,15.654,0,1083,468
agilent_11949,45.563,15.654,0,320,197
agilent_12000,690.773,8.994,0,3,28
agilent_12001,382.392,9.675,0,6,31
agilent_12004,33.148,14.875,0,518,232
agilent_12005,44.566,13.898,0,93,56
agilent_12006,94.483,1000,0,94,120
agilent_12008,22.326,14.875,0,484,146
agilent_12009,27.655,15.109,0,744,278
agilent_12010,31.605,15.176,0,185,79
agilent_12011,120.676,15,0,590,962
agilent_12012,83.074,15.955,0,196,220
agilent_12013,117.265,1000,0,154,244
agilent_12014,20.434,1000,0,1485,410
agilent_12015,14.653,15.654,0,1091,216
agilent_12016,16.608,15.176,0,2099,471
agilent_12017,12.984,8.909,0,342,60
agilent_12018,142.102,15.654,0,75,144
agilent_12019,126.924,15.353,0,221,379
agilent_12020,99.539,15.051,0,374,503
agilent_12021,43.135,15.051,0,489,285
agilent_12022,15.387,11.581,0,380,79
agilent_12023,47.061,15.477,0,541,344
agilent_12024,518.079,1000,0,17,119
agilent_120494,851.13,7.639,0.007,2,23
agilent_120967,37.441,10.65,0,85,43
agilent_121617,27.991,13.146,0,156,59
agilent_121784,55.509,8.188,0.002,40,30
agilent_12212,9.017,8.302,0.001,632,77
agilent_122606,14.115,1000,0,1379,263
agilent_122613,16282.496,7.465,0.01,0.1,22
agilent_122635,15.549,8.97,0,238,50
agilent_122950,50.792,9.266,0,51,35
agilent_124153,41.73,13.091,0,94,53
agilent_125065,17.114,1000,0,1306,302
agilent_12530,33.219,15.256,0,684,307
agilent_125546,10.823,11.069,0,718,105
agilent_128122,20.983,11.163,0,194,55
agilent_128150,15.741,9.736,0,268,57
agilent_129251,243.18,7.383,0.012,7,23
agilent_129495,77.755,15.176,0,257,270
agilent_129884,255.339,15.955,0,40,138
agilent_13027,17.556,9.724,0,215,51
agilent_130471,86.347,13.285,0,42,49
agilent_130807,35.18,1000,0,608,289
agilent_13152,6.525,6.826,0.045,862,76
agilent_13153,10.384,11.768,0,841,118
agilent_132170,38.903,10.267,0,78,41
agilent_132331,25903.971,11.109,0,0.1,35
agilent_133222,191.813,15.654,0,120,311
agilent_133854,20.458,7.587,0.008,123,34
agilent_134645,54.085,10.053,0,52,38
agilent_135148,77.153,15.654,0,212,221
agilent_135179,14.294,8.015,0.003,233,45
agilent_135255,27.011,15.477,0,274,100
agilent_135273,17.521,10.49,0,245,58
agilent_13663,86.772,9.606,0,29,34
agilent_137268,61.676,7.094,0.024,30,25
agilent_137474,70.445,15.955,0,83,79
agilent_137727,29.012,11.383,0,125,49
agilent_138563,36.747,15.654,0,143,71
agilent_139400,76.858,7.773,0.005,26,27
agilent_139744,21.972,11.68,0,192,57
agilent_139987,357.721,9.118,0,6,29
agilent_140151,51.512,1000,0,125,87
agilent_140734,50.328,9.02,0,50,34
agilent_141190,28.268,12.464,0,144,55
