peptide_id;protein_id
agilent_100945;agilent_16648
agilent_100946;agilent_12622
agilent_100966;agilent_30364
agilent_100971;agilent_28386
agilent_100974;agilent_20929
agilent_100988;agilent_35579
agilent_100994;agilent_16792
agilent_101005;agilent_24950
agilent_101007;agilent_29265
agilent_101014;agilent_41155
agilent_101019;agilent_19600
agilent_101025;agilent_28729
agilent_101026;agilent_32757
agilent_101031;agilent_38184
agilent_101033;agilent_14519
agilent_101041;agilent_34503
agilent_101051;agilent_34724
agilent_101062;agilent_25383
agilent_101064;agilent_16433
agilent_101065;agilent_31969
agilent_101077;agilent_55932
agilent_101082;agilent_101082
agilent_101086;agilent_101086
agilent_101087;agilent_16222
agilent_101090;agilent_38672
agilent_101099;agilent_46164
agilent_101100;agilent_21570
agilent_101101;agilent_80377
agilent_101102;agilent_14912
agilent_101103;agilent_31237
agilent_101104;agilent_14170
agilent_101110;agilent_101110
agilent_101112;agilent_54213
agilent_101116;agilent_23554
agilent_101119;agilent_18933
agilent_101130;agilent_53606
agilent_101132;agilent_16479
agilent_101135;agilent_34194
agilent_101138;agilent_88223
agilent_101144;agilent_18704
agilent_101145;agilent_23352
agilent_101147;agilent_28916
agilent_10115;agilent_134
agilent_101151;agilent_13615
agilent_101156;agilent_23564
agilent_101159;agilent_12465
agilent_101167;agilent_21850
agilent_101170;agilent_42488
agilent_101173;agilent_101173
agilent_101179;agilent_24900
agilent_101181;agilent_20467
agilent_101186;agilent_12976
agilent_101188;agilent_23044
agilent_10119;agilent_1275
agilent_101191;agilent_12706
agilent_101193;agilent_28843
agilent_101196;agilent_101196
agilent_1012;agilent_74
agilent_101213;agilent_22884
agilent_101215;agilent_22817
agilent_101241;agilent_14150
agilent_101242;agilent_14445
agilent_101246;agilent_37979
agilent_10125;agilent_18
agilent_101250;agilent_58857
agilent_101260;agilent_45766
agilent_10127;agilent_136
agilent_101272;agilent_71189
agilent_101274;agilent_18789
agilent_10128;agilent_80
agilent_101284;agilent_14083
agilent_101287;agilent_20298
agilent_101289;agilent_42118
agilent_10129;agilent_543
agilent_101293;agilent_13360
agilent_1013;agilent_74
agilent_101303;agilent_12065
agilent_101304;agilent_49480
agilent_101306;agilent_31923
agilent_101309;agilent_25052
agilent_10131;agilent_139
agilent_101312;agilent_55163
agilent_101314;agilent_57158
agilent_10132;agilent_40
agilent_101320;agilent_23054
agilent_101325;agilent_17654
agilent_10133;agilent_297
agilent_101330;agilent_43097
agilent_101338;agilent_61470
agilent_101344;agilent_12944
agilent_101345;agilent_31219
agilent_101347;agilent_22871
agilent_101349;agilent_60897
agilent_101352;agilent_14243
agilent_101354;agilent_32203
agilent_101355;agilent_14665
agilent_101357;agilent_26585
agilent_101358;agilent_25170
agilent_101359;agilent_30325
agilent_101362;agilent_101362
agilent_101367;agilent_19535
agilent_101368;agilent_36488
agilent_101370;agilent_28521
agilent_101371;agilent_29195
agilent_101372;agilent_16646
agilent_101377;agilent_101377
agilent_101389;agilent_23856
agilent_101395;agilent_101395
agilent_101398;agilent_49093
agilent_1014;agilent_74
agilent_101406;agilent_17763
agilent_101416;agilent_26147
agilent_101417;agilent_28716
agilent_101418;agilent_27933
agilent_101424;agilent_13391
agilent_101425;agilent_44491
agilent_10143;agilent_112
agilent_101430;agilent_12870
agilent_101431;agilent_66432
agilent_101434;agilent_49948
agilent_10144;agilent_37
agilent_101440;agilent_29498
agilent_101441;agilent_39875
agilent_101443;agilent_24948
agilent_101444;agilent_49419
agilent_101450;agilent_20890
agilent_101452;agilent_53380
agilent_101454;agilent_19788
agilent_101455;agilent_36623
agilent_101456;agilent_28997
agilent_101458;agilent_36921
agilent_101468;agilent_15292
agilent_101470;agilent_44424
agilent_101472;agilent_14956
agilent_101495;agilent_22834
agilent_101496;agilent_74205
agilent_101499;agilent_58829
agilent_10150;agilent_683
agilent_101510;agilent_35078
agilent_101512;agilent_83854
agilent_101514;agilent_24173
agilent_101515;agilent_27948
agilent_10152;agilent_108
agilent_101521;agilent_24876
agilent_101533;agilent_18486
agilent_101535;agilent_24257
agilent_101537;agilent_39676
agilent_101538;agilent_22706
agilent_101539;agilent_101539
agilent_10154;agilent_65
agilent_101540;agilent_72672
agilent_101545;agilent_20234
agilent_10155;agilent_371
agilent_101550;agilent_13659
agilent_101555;agilent_38037
agilent_101556;agilent_12848
agilent_101557;agilent_27195
agilent_10156;agilent_39
agilent_101560;agilent_15796
agilent_10157;agilent_689
agilent_101570;agilent_24235
agilent_101575;agilent_45481
agilent_101586;agilent_17881
agilent_101588;agilent_101588
agilent_101590;agilent_41312
agilent_101594;agilent_12788
agilent_101602;agilent_40459
agilent_101606;agilent_92694
agilent_101608;agilent_20065
agilent_101609;agilent_41573
agilent_101610;agilent_30858
agilent_101611;agilent_68628
agilent_101617;agilent_14600
agilent_101621;agilent_12185
agilent_10164;agilent_296
agilent_101640;agilent_17644
agilent_101647;agilent_20642
agilent_10165;agilent_297
agilent_101652;agilent_45448
agilent_101659;agilent_86681
agilent_101660;agilent_16249
agilent_101662;agilent_52512
agilent_101664;agilent_61751
agilent_101665;agilent_19873
agilent_101667;agilent_60379
agilent_101675;agilent_14148
agilent_101678;agilent_51369
agilent_101679;agilent_101679
agilent_101681;agilent_24219
agilent_101682;agilent_18163
agilent_101685;agilent_47732
agilent_101687;agilent_18095
agilent_10169;agilent_174
agilent_101690;agilent_22807
agilent_101695;agilent_44344
agilent_101698;agilent_26454
agilent_10170;agilent_273
agilent_101703;agilent_13864
agilent_101709;agilent_17005
agilent_10171;agilent_639
agilent_101716;agilent_43794
agilent_101717;agilent_49920
agilent_101723;agilent_19920
agilent_101726;agilent_101726
agilent_101728;agilent_21473
agilent_101729;agilent_67409
agilent_101731;agilent_15999
agilent_101738;agilent_45774
agilent_101744;agilent_85804
agilent_101745;agilent_35182
agilent_101749;agilent_16271
agilent_101751;agilent_29223
agilent_101752;agilent_18066
